case_type,filing_year,state,court_level,number_of_hearings,judge_workload,historical_disposal_rate,delay_months
Criminal,2012,Tamil Nadu,District,24,433,0.76,26.38
Criminal,2012,Tamil Nadu,High,33,269,0.83,35.57
Civil,2012,Tamil Nadu,High,39,331,0.53,47.14
Family,2021,Delhi,Supreme,37,353,0.53,48.59
Criminal,2010,Tamil Nadu,Supreme,23,604,0.32,53.16
Family,2021,Uttar Pradesh,Supreme,22,472,0.65,37.98
Property,2014,Maharashtra,District,6,420,0.69,12.68
Property,2014,Maharashtra,Supreme,6,735,0.71,31.19
Commercial,2010,Delhi,District,20,358,0.31,30.75
Property,2019,Tamil Nadu,Supreme,21,605,0.72,35.09
Civil,2017,Delhi,Supreme,14,741,0.89,45.17
Property,2018,Uttar Pradesh,Supreme,21,631,0.52,40.13
Property,2016,Uttar Pradesh,High,32,382,0.74,28.5
Family,2012,Delhi,District,30,502,0.9,19.09
Commercial,2021,Tamil Nadu,Supreme,35,600,0.68,47.72
Criminal,2019,Maharashtra,Supreme,17,758,0.8,48.03
Family,2010,Maharashtra,High,13,336,0.87,20.07
Commercial,2011,Maharashtra,High,12,249,0.4,23.36
Civil,2020,Delhi,High,32,453,0.65,41.32
Property,2015,Karnataka,District,21,625,0.81,21.24
Criminal,2022,Delhi,Supreme,28,780,0.81,55.24
Criminal,2011,Delhi,District,12,460,0.72,23.8
Civil,2016,Maharashtra,High,28,459,0.33,40.47
Criminal,2018,Karnataka,District,22,747,0.31,34.37
Civil,2017,Uttar Pradesh,District,26,613,0.32,33.07
Criminal,2018,Tamil Nadu,High,16,599,0.76,31.53
Property,2014,Delhi,Supreme,27,404,0.46,43.46
Commercial,2021,Karnataka,High,22,449,0.64,31.58
Family,2015,Uttar Pradesh,Supreme,23,395,0.49,40.04
Commercial,2013,Tamil Nadu,High,17,402,0.88,27.05
Civil,2011,Delhi,Supreme,17,398,0.54,46.54
Civil,2011,Uttar Pradesh,Supreme,16,512,0.6,46.79
Property,2019,Karnataka,Supreme,23,281,0.39,37.9
Family,2019,Karnataka,High,21,570,0.88,27.23
Civil,2021,Tamil Nadu,Supreme,14,644,0.37,46.46
Civil,2019,Maharashtra,District,9,797,0.64,24.44
Civil,2011,Uttar Pradesh,District,19,772,0.44,35.86
Family,2020,Uttar Pradesh,High,24,376,0.63,20.61
Civil,2022,Karnataka,District,8,693,0.57,21.43
Property,2013,Delhi,High,4,221,0.81,13.94
Civil,2018,Delhi,High,4,297,0.82,27.67
Commercial,2019,Maharashtra,High,14,543,0.77,26.95
Criminal,2015,Delhi,High,12,442,0.77,28.78
Criminal,2014,Tamil Nadu,Supreme,22,353,0.5,47.13
Family,2013,Uttar Pradesh,High,24,575,0.38,29.03
Commercial,2020,Maharashtra,District,16,580,0.57,26.48
Family,2022,Karnataka,High,30,225,0.63,26.29
Criminal,2019,Maharashtra,Supreme,5,243,0.62,39.07
Commercial,2010,Maharashtra,High,37,635,0.57,39.71
Property,2015,Karnataka,District,7,506,0.42,15.74
Family,2021,Karnataka,District,14,785,0.36,27.06
Criminal,2016,Maharashtra,High,39,796,0.49,48.44
Civil,2018,Delhi,District,11,758,0.42,29.03
Commercial,2018,Maharashtra,District,22,653,0.78,29.6
Civil,2021,Maharashtra,Supreme,9,586,0.52,50.79
Family,2017,Tamil Nadu,District,10,459,0.78,14.34
Civil,2014,Karnataka,High,21,743,0.37,37.65
Criminal,2012,Maharashtra,Supreme,3,774,0.59,46.77
Civil,2019,Maharashtra,High,23,468,0.49,34.69
Family,2020,Maharashtra,District,7,736,0.36,20.35
Family,2014,Delhi,High,6,581,0.53,22.96
Family,2011,Maharashtra,District,8,410,0.76,11.79
Property,2018,Maharashtra,Supreme,13,649,0.79,28.72
Civil,2021,Karnataka,High,36,330,0.83,37.18
Property,2023,Maharashtra,Supreme,32,476,0.37,47.79
Property,2023,Uttar Pradesh,Supreme,37,745,0.51,49.47
Family,2017,Maharashtra,High,20,513,0.67,32.26
Criminal,2023,Maharashtra,Supreme,19,488,0.38,45.71
Commercial,2019,Maharashtra,District,18,265,0.49,25.16
Civil,2017,Karnataka,District,3,390,0.5,17.38
Criminal,2012,Karnataka,High,27,342,0.43,42.16
Family,2012,Maharashtra,District,14,600,0.76,17.94
Property,2014,Delhi,District,37,406,0.46,30.78
Property,2011,Karnataka,District,25,642,0.37,29.17
Criminal,2013,Uttar Pradesh,High,16,700,0.63,37.46
Civil,2015,Delhi,District,16,706,0.55,29.37
Commercial,2015,Tamil Nadu,Supreme,27,623,0.74,46.66
Family,2020,Delhi,District,21,625,0.72,22.82
Criminal,2010,Uttar Pradesh,High,30,372,0.88,35.11
Family,2015,Delhi,District,21,597,0.43,27.43
Civil,2022,Delhi,High,38,664,0.45,47.08
Family,2017,Maharashtra,District,27,402,0.34,25.21
Commercial,2018,Karnataka,High,16,421,0.66,27.54
Commercial,2013,Karnataka,High,24,326,0.68,33.84
Criminal,2011,Karnataka,High,18,676,0.8,34.09
Civil,2019,Karnataka,Supreme,13,775,0.77,39.47
Property,2011,Maharashtra,Supreme,23,524,0.45,42.05
Criminal,2018,Uttar Pradesh,District,11,644,0.32,26.18
Commercial,2011,Delhi,District,37,681,0.83,35.97
Property,2019,Delhi,Supreme,14,637,0.56,45.83
Family,2013,Delhi,Supreme,17,225,0.4,41.05
Criminal,2016,Uttar Pradesh,District,6,654,0.38,26.93
Civil,2014,Tamil Nadu,High,6,605,0.77,26.73
Family,2020,Maharashtra,High,3,783,0.68,15.28
Commercial,2021,Karnataka,High,8,413,0.45,25.31
Property,2017,Karnataka,Supreme,28,482,0.38,38.4
Property,2018,Tamil Nadu,District,3,640,0.5,10.68
Family,2023,Delhi,Supreme,37,631,0.47,49.86
Criminal,2010,Delhi,High,15,248,0.3,34.05
Family,2011,Karnataka,Supreme,23,517,0.54,39.01
Commercial,2019,Karnataka,District,11,543,0.35,21.77
Commercial,2012,Maharashtra,Supreme,15,693,0.9,41.24
Civil,2012,Uttar Pradesh,High,15,326,0.46,28.03
Family,2010,Karnataka,High,14,783,0.84,18.86
Property,2016,Maharashtra,District,14,644,0.49,19.09
Criminal,2017,Delhi,District,25,523,0.53,34.87
Property,2022,Karnataka,High,38,793,0.36,44.73
Commercial,2015,Karnataka,District,35,531,0.35,42.91
Property,2020,Uttar Pradesh,District,17,240,0.87,17.88
Commercial,2022,Maharashtra,High,4,465,0.6,27.12
Criminal,2015,Maharashtra,High,11,576,0.39,36.71
Family,2016,Uttar Pradesh,Supreme,4,586,0.62,28.44
Property,2013,Delhi,District,4,280,0.72,2.24
Civil,2014,Delhi,District,17,556,0.37,35.03
Family,2022,Maharashtra,Supreme,33,478,0.79,42.87
Commercial,2014,Maharashtra,High,20,619,0.7,30.25
Commercial,2011,Tamil Nadu,High,11,229,0.57,26.67
Family,2016,Tamil Nadu,District,30,371,0.85,23.68
Criminal,2017,Uttar Pradesh,District,25,559,0.83,31.56
Family,2022,Karnataka,District,26,489,0.4,24.85
Commercial,2022,Maharashtra,District,39,206,0.39,33.74
Commercial,2011,Karnataka,District,22,401,0.69,27.45
Criminal,2014,Karnataka,Supreme,30,618,0.5,55.73
Family,2019,Karnataka,Supreme,7,591,0.52,32.07
Criminal,2018,Tamil Nadu,High,14,685,0.57,33.72
Commercial,2016,Delhi,District,7,575,0.89,18.62
Property,2020,Maharashtra,High,5,274,0.38,19.1
Family,2022,Delhi,District,29,433,0.54,24.96
Civil,2011,Maharashtra,High,8,324,0.58,29.12
Commercial,2011,Uttar Pradesh,District,39,369,0.52,34.1
Civil,2010,Delhi,Supreme,37,286,0.57,53.7
Civil,2012,Delhi,High,31,276,0.66,38.13
Criminal,2022,Maharashtra,District,19,308,0.88,33.68
Commercial,2022,Maharashtra,High,24,578,0.8,27.36
Criminal,2012,Tamil Nadu,High,5,753,0.8,27.45
Family,2014,Tamil Nadu,District,23,582,0.46,26.39
Family,2021,Maharashtra,District,13,558,0.63,18.66
Criminal,2020,Maharashtra,High,37,310,0.79,38.15
Criminal,2021,Tamil Nadu,Supreme,38,634,0.77,54.93
Criminal,2023,Uttar Pradesh,High,24,364,0.74,39.42
Criminal,2016,Maharashtra,High,10,483,0.81,31.3
Commercial,2010,Maharashtra,High,29,316,0.66,34.87
Criminal,2021,Uttar Pradesh,District,14,445,0.38,28.56
Civil,2010,Maharashtra,Supreme,19,383,0.47,47.47
Civil,2015,Tamil Nadu,High,14,781,0.39,38.04
Criminal,2022,Uttar Pradesh,Supreme,34,781,0.65,58.22
Family,2013,Maharashtra,District,38,301,0.61,22.47
Family,2018,Uttar Pradesh,District,29,698,0.65,32.79
Family,2019,Delhi,District,16,281,0.57,21.66
Family,2012,Uttar Pradesh,High,9,564,0.59,27.33
Family,2021,Karnataka,Supreme,11,315,0.3,31.5
Property,2020,Tamil Nadu,High,10,346,0.49,24.45
Family,2023,Uttar Pradesh,High,5,642,0.32,26.38
Criminal,2016,Delhi,High,24,548,0.32,44.65
Family,2023,Karnataka,District,5,765,0.62,20.23
Family,2021,Karnataka,Supreme,14,393,0.5,39.85
Family,2016,Tamil Nadu,High,37,485,0.87,35.51
Family,2010,Tamil Nadu,District,9,741,0.31,22.35
Civil,2011,Uttar Pradesh,High,3,491,0.8,22.49
Civil,2012,Delhi,District,10,387,0.7,23.17
Family,2014,Karnataka,Supreme,3,746,0.67,32.18
Commercial,2019,Karnataka,Supreme,16,583,0.71,39.08
Family,2012,Maharashtra,Supreme,33,557,0.48,53.6
Civil,2022,Karnataka,Supreme,15,489,0.3,49.74
Civil,2019,Maharashtra,District,21,322,0.82,23.37
Family,2021,Uttar Pradesh,District,36,579,0.72,29.6
Family,2019,Maharashtra,High,4,649,0.73,15.89
Criminal,2020,Delhi,Supreme,36,494,0.54,59.45
Civil,2018,Maharashtra,Supreme,25,766,0.84,48.97
Criminal,2013,Karnataka,Supreme,3,432,0.43,35.51
Criminal,2023,Delhi,District,15,732,0.43,36.96
Family,2015,Karnataka,Supreme,33,536,0.73,43.12
Commercial,2019,Uttar Pradesh,District,34,645,0.57,35.41
Criminal,2022,Maharashtra,Supreme,22,359,0.62,52.26
Family,2019,Karnataka,District,30,252,0.78,24.9
Criminal,2020,Uttar Pradesh,Supreme,15,258,0.77,50.66
Criminal,2019,Delhi,Supreme,20,211,0.6,44.03
Commercial,2016,Karnataka,High,36,274,0.46,37.91
Commercial,2012,Tamil Nadu,District,17,640,0.3,27.02
Commercial,2014,Maharashtra,Supreme,34,493,0.84,48.58
Property,2012,Karnataka,High,26,589,0.45,29.81
Commercial,2020,Tamil Nadu,Supreme,13,776,0.38,48.84
Civil,2012,Tamil Nadu,Supreme,11,627,0.64,37.73
Property,2016,Tamil Nadu,Supreme,14,620,0.37,35.93
Criminal,2020,Karnataka,District,25,417,0.64,29.74
Civil,2019,Delhi,District,23,434,0.7,30.07
Family,2011,Tamil Nadu,Supreme,35,735,0.76,47.52
Commercial,2013,Tamil Nadu,Supreme,32,732,0.59,53.01
Criminal,2011,Karnataka,Supreme,21,492,0.33,53.34
Commercial,2023,Karnataka,Supreme,30,752,0.59,51.25
Commercial,2012,Karnataka,High,20,426,0.52,35.77
Criminal,2011,Karnataka,Supreme,33,727,0.52,57.61
Civil,2011,Tamil Nadu,High,13,299,0.71,23.73
Property,2019,Delhi,Supreme,26,462,0.38,46.27
Commercial,2023,Tamil Nadu,District,5,227,0.88,13.38
Commercial,2011,Karnataka,High,3,555,0.35,25.53
Property,2015,Tamil Nadu,Supreme,37,724,0.33,52.56
Family,2015,Tamil Nadu,District,12,757,0.45,18.06
Civil,2011,Tamil Nadu,Supreme,26,597,0.55,43.78
Property,2022,Tamil Nadu,District,19,381,0.46,20.14
Criminal,2023,Tamil Nadu,District,31,370,0.83,32.57
Commercial,2019,Uttar Pradesh,High,3,318,0.76,18.61
Property,2018,Uttar Pradesh,High,19,303,0.38,27.42
Property,2021,Uttar Pradesh,High,32,620,0.46,38.89
Commercial,2023,Uttar Pradesh,Supreme,34,700,0.51,51.36
Property,2022,Karnataka,District,14,727,0.64,22.06
Civil,2021,Maharashtra,District,38,427,0.81,37.18
Civil,2017,Delhi,High,10,244,0.54,30.07
Commercial,2021,Tamil Nadu,High,6,394,0.73,23.09
Civil,2016,Uttar Pradesh,District,15,278,0.34,28.79
Commercial,2018,Tamil Nadu,District,28,715,0.87,29.51
Criminal,2021,Karnataka,District,17,739,0.77,30.88
Property,2023,Maharashtra,Supreme,19,770,0.74,42.3
Criminal,2010,Tamil Nadu,High,27,593,0.49,43.29
Criminal,2016,Maharashtra,High,21,466,0.89,36.97
Criminal,2010,Karnataka,District,33,611,0.69,37.89
Commercial,2017,Uttar Pradesh,High,3,248,0.87,22.01
Family,2023,Uttar Pradesh,High,33,688,0.71,31.58
Commercial,2010,Maharashtra,Supreme,28,204,0.6,39.97
Property,2012,Karnataka,Supreme,36,214,0.51,42.88
Criminal,2016,Delhi,High,23,757,0.35,46.09
Criminal,2013,Maharashtra,High,20,789,0.63,37.74
Family,2011,Maharashtra,High,15,422,0.33,25.82
Civil,2020,Tamil Nadu,High,35,530,0.78,37.3
Civil,2018,Karnataka,Supreme,13,691,0.88,42.75
Family,2013,Delhi,Supreme,13,556,0.56,37.46
Commercial,2016,Maharashtra,High,21,510,0.43,35.91
Civil,2020,Karnataka,Supreme,36,472,0.88,54.2
Commercial,2012,Uttar Pradesh,Supreme,18,649,0.88,44.84
Civil,2011,Tamil Nadu,District,32,551,0.49,35.66
Commercial,2012,Karnataka,District,32,626,0.7,32.96
Commercial,2010,Delhi,High,24,292,0.6,28.31
Civil,2011,Uttar Pradesh,Supreme,11,620,0.31,48.46
Property,2011,Maharashtra,High,23,369,0.49,27.67
Civil,2019,Tamil Nadu,District,4,766,0.74,21.8
Criminal,2020,Delhi,High,31,650,0.84,38.98
Civil,2013,Delhi,District,12,464,0.39,37.23
Commercial,2012,Tamil Nadu,District,9,603,0.75,15.64
Criminal,2023,Uttar Pradesh,District,37,558,0.65,43.16
Civil,2018,Delhi,District,31,290,0.55,31.12
Civil,2016,Maharashtra,District,3,313,0.84,13.82
Civil,2021,Karnataka,District,3,600,0.39,25.84
Family,2017,Karnataka,District,31,779,0.65,34.72
Property,2015,Maharashtra,High,37,787,0.76,32.08
Commercial,2012,Karnataka,District,21,308,0.51,24.91
Criminal,2018,Karnataka,District,6,283,0.6,24.59
Civil,2021,Tamil Nadu,High,31,752,0.48,42.93
Civil,2014,Karnataka,High,29,470,0.83,37.16
Family,2016,Delhi,District,3,566,0.79,9.82
Commercial,2017,Tamil Nadu,District,36,735,0.51,40.12
Criminal,2022,Tamil Nadu,Supreme,6,489,0.83,34.25
Civil,2018,Delhi,District,25,780,0.54,35.86
Civil,2023,Uttar Pradesh,Supreme,8,556,0.73,38.51
Family,2023,Tamil Nadu,District,23,516,0.56,21.3
Property,2015,Maharashtra,District,24,237,0.74,15.72
Property,2013,Karnataka,High,15,542,0.67,29.66
Criminal,2013,Karnataka,District,32,736,0.45,39.01
Property,2015,Maharashtra,High,38,750,0.43,39.07
Civil,2023,Uttar Pradesh,Supreme,24,412,0.63,46.76
Property,2011,Delhi,High,33,401,0.31,32.3
Property,2023,Maharashtra,Supreme,36,453,0.65,47.98
Property,2016,Uttar Pradesh,High,27,301,0.77,22.3
Commercial,2015,Tamil Nadu,District,27,762,0.52,36.17
Criminal,2017,Tamil Nadu,District,8,200,0.37,27.29
Commercial,2023,Tamil Nadu,High,19,617,0.78,29.2
Civil,2021,Maharashtra,Supreme,8,539,0.89,35.19
Commercial,2010,Delhi,Supreme,5,536,0.72,37.03
Property,2017,Karnataka,District,3,673,0.4,21.25
Property,2022,Maharashtra,Supreme,34,327,0.84,42.64
Commercial,2015,Karnataka,Supreme,35,469,0.81,48.12
Civil,2011,Karnataka,High,6,514,0.6,29.06
Commercial,2022,Delhi,District,21,392,0.49,32.05
Property,2014,Uttar Pradesh,District,18,589,0.37,23.75
Commercial,2020,Karnataka,Supreme,33,651,0.68,51.9
Family,2010,Tamil Nadu,High,4,575,0.79,15.5
Property,2016,Maharashtra,Supreme,16,574,0.64,37.35
Property,2014,Tamil Nadu,High,18,794,0.68,26.15
Criminal,2021,Uttar Pradesh,Supreme,35,312,0.31,56.03
Commercial,2014,Uttar Pradesh,Supreme,13,482,0.55,40.48
Property,2018,Tamil Nadu,High,30,268,0.34,34.39
Family,2019,Karnataka,High,35,517,0.35,40.88
Property,2010,Karnataka,High,4,758,0.53,18.8
Property,2011,Tamil Nadu,Supreme,35,340,0.77,41.52
Property,2014,Maharashtra,High,25,602,0.77,29.84
Family,2021,Delhi,District,31,603,0.47,27.31
Family,2017,Uttar Pradesh,High,10,417,0.57,16.46
Family,2012,Tamil Nadu,High,12,216,0.36,23.72
Commercial,2011,Tamil Nadu,District,7,281,0.72,16.23
Commercial,2020,Maharashtra,District,29,403,0.34,33.3
Property,2017,Maharashtra,District,37,407,0.68,35.13
Civil,2015,Delhi,High,26,785,0.71,40.61
Criminal,2010,Uttar Pradesh,High,29,694,0.87,37.54
Property,2020,Delhi,High,29,752,0.36,41.44
Civil,2016,Uttar Pradesh,Supreme,4,613,0.68,43.35
Property,2014,Tamil Nadu,High,24,333,0.45,32.4
Criminal,2013,Delhi,High,8,642,0.46,36.86
Civil,2021,Delhi,High,4,612,0.4,29.72
Commercial,2022,Tamil Nadu,District,17,514,0.74,20.22
Property,2017,Delhi,Supreme,23,447,0.65,42.61
Property,2019,Tamil Nadu,District,30,648,0.31,33.89
Commercial,2018,Tamil Nadu,Supreme,6,206,0.45,37.28
Property,2015,Karnataka,High,38,272,0.8,31.53
Commercial,2016,Karnataka,Supreme,34,461,0.89,45.12
Commercial,2016,Karnataka,High,23,326,0.78,29.54
Family,2011,Uttar Pradesh,Supreme,17,578,0.73,37.03
Civil,2020,Tamil Nadu,District,19,242,0.68,24.86
Civil,2014,Karnataka,Supreme,22,692,0.35,53.3
Criminal,2019,Tamil Nadu,High,34,635,0.31,47.55
Criminal,2023,Maharashtra,District,35,565,0.46,45.67
Commercial,2018,Uttar Pradesh,District,35,530,0.66,32.3
Property,2012,Delhi,District,32,503,0.5,27.22
Criminal,2022,Maharashtra,Supreme,38,642,0.47,63.4
Commercial,2018,Uttar Pradesh,Supreme,5,693,0.52,39.69
Commercial,2014,Maharashtra,High,27,494,0.46,39.14
Property,2023,Tamil Nadu,Supreme,30,748,0.7,44.79
Commercial,2020,Karnataka,District,38,451,0.39,40.97
Criminal,2016,Karnataka,Supreme,17,291,0.55,50.41
Property,2013,Maharashtra,District,15,413,0.6,17.63
Criminal,2020,Maharashtra,District,26,406,0.47,36.57
Property,2016,Maharashtra,District,23,220,0.75,17.72
Family,2023,Uttar Pradesh,District,5,502,0.71,11.43
Criminal,2020,Karnataka,District,6,339,0.45,22.05
Commercial,2019,Delhi,High,25,476,0.75,31.28
Civil,2015,Maharashtra,Supreme,34,588,0.5,57.59
Property,2013,Tamil Nadu,District,18,296,0.49,17.64
Commercial,2019,Delhi,Supreme,7,625,0.83,39.55
Property,2012,Maharashtra,Supreme,14,670,0.58,37.26
Civil,2016,Delhi,High,11,484,0.58,30.43
Civil,2014,Karnataka,District,25,757,0.53,26.49
Family,2018,Uttar Pradesh,Supreme,23,649,0.62,40.54
Property,2012,Maharashtra,High,20,488,0.51,32.5
Family,2017,Uttar Pradesh,District,16,314,0.43,17.1
Commercial,2022,Uttar Pradesh,District,11,433,0.66,16.1
Civil,2011,Delhi,District,17,581,0.88,23.82
Civil,2022,Uttar Pradesh,Supreme,10,562,0.63,37.56
Property,2015,Tamil Nadu,District,21,394,0.72,13.6
Property,2011,Delhi,Supreme,3,553,0.55,32.51
Property,2013,Karnataka,High,15,759,0.66,29.26
Civil,2018,Delhi,District,31,494,0.39,33.55
Civil,2020,Delhi,Supreme,7,504,0.71,41.39
Criminal,2020,Maharashtra,District,3,773,0.78,23.29
Civil,2013,Delhi,High,17,740,0.68,32.81
Criminal,2020,Karnataka,District,34,579,0.83,39.24
Civil,2016,Karnataka,Supreme,3,292,0.79,37.74
Commercial,2017,Maharashtra,Supreme,18,624,0.59,47.63
Criminal,2010,Maharashtra,District,16,612,0.41,30.14
Property,2010,Uttar Pradesh,Supreme,4,628,0.59,32.27
Civil,2019,Maharashtra,Supreme,20,634,0.47,49.04
Civil,2012,Karnataka,District,4,733,0.59,25.15
Civil,2013,Karnataka,High,17,315,0.69,28.5
Commercial,2012,Karnataka,High,20,532,0.78,24.89
Property,2022,Maharashtra,Supreme,21,202,0.51,39.28
Property,2023,Karnataka,Supreme,6,706,0.52,34.47
Criminal,2016,Uttar Pradesh,District,34,613,0.43,39.64
Criminal,2015,Karnataka,Supreme,11,547,0.68,44.48
Civil,2020,Karnataka,District,11,449,0.63,21.95
Civil,2020,Maharashtra,High,34,513,0.76,38.13
Commercial,2012,Delhi,District,30,464,0.51,36.06
Property,2013,Karnataka,High,8,641,0.84,21.63
Criminal,2012,Uttar Pradesh,High,28,689,0.65,46.72
Family,2014,Tamil Nadu,High,24,773,0.39,39.26
Criminal,2016,Maharashtra,District,18,719,0.65,31.04
Commercial,2017,Karnataka,District,4,499,0.75,22.72
Family,2017,Maharashtra,District,14,570,0.79,21.06
Family,2014,Uttar Pradesh,High,20,517,0.78,28.15
Criminal,2021,Uttar Pradesh,District,5,421,0.44,21.01
Civil,2021,Uttar Pradesh,High,32,355,0.58,42.44
Property,2014,Karnataka,High,9,785,0.7,19.49
Criminal,2018,Delhi,High,17,406,0.77,30.77
Property,2016,Maharashtra,High,22,539,0.52,30.94
Family,2023,Delhi,High,30,591,0.32,34.71
Property,2020,Delhi,High,7,319,0.81,18.06
Criminal,2010,Tamil Nadu,High,8,416,0.84,26.77
Criminal,2016,Tamil Nadu,Supreme,31,654,0.9,55.24
Criminal,2019,Tamil Nadu,District,20,457,0.75,30.85
Family,2012,Delhi,Supreme,29,475,0.84,43.54
Property,2015,Delhi,Supreme,33,290,0.78,38.55
Commercial,2022,Maharashtra,High,13,698,0.54,30.35
Property,2020,Tamil Nadu,High,32,707,0.69,36.04
Property,2015,Karnataka,District,34,555,0.32,35.34
Family,2020,Karnataka,District,17,434,0.3,21.46
Family,2017,Maharashtra,District,12,538,0.65,18.86
Property,2023,Maharashtra,Supreme,31,582,0.74,41.4
Property,2017,Maharashtra,High,27,475,0.64,31.08
Family,2016,Maharashtra,Supreme,25,739,0.62,45.57
Criminal,2023,Delhi,Supreme,27,213,0.33,54.99
Commercial,2011,Karnataka,District,13,388,0.7,17.2
Family,2017,Tamil Nadu,High,25,274,0.4,33.68
Commercial,2015,Karnataka,District,7,542,0.71,21.85
Civil,2012,Maharashtra,District,12,263,0.79,24.75
Civil,2012,Tamil Nadu,Supreme,3,605,0.57,42.71
Property,2014,Karnataka,District,16,633,0.31,24.65
Property,2011,Delhi,Supreme,35,574,0.4,43.26
Criminal,2015,Delhi,High,22,421,0.85,28.56
Criminal,2015,Tamil Nadu,District,30,383,0.87,32.77
Commercial,2022,Tamil Nadu,District,4,637,0.65,21.78
Family,2019,Karnataka,Supreme,10,349,0.72,31.91
Criminal,2012,Maharashtra,District,18,718,0.6,34.4
Civil,2012,Maharashtra,High,29,380,0.78,34.69
Criminal,2019,Uttar Pradesh,District,19,422,0.88,25.01
Family,2010,Karnataka,Supreme,10,406,0.81,30.41
Criminal,2011,Delhi,Supreme,14,263,0.84,39.78
Criminal,2019,Tamil Nadu,District,31,693,0.53,38.6
Commercial,2022,Delhi,High,26,763,0.56,33.38
Commercial,2014,Karnataka,Supreme,22,783,0.56,50.85
Property,2012,Uttar Pradesh,Supreme,10,292,0.44,31.57
Property,2019,Tamil Nadu,District,12,238,0.52,11.12
Criminal,2020,Uttar Pradesh,High,38,300,0.4,42.99
Commercial,2016,Karnataka,District,6,422,0.77,15.05
Family,2022,Karnataka,District,33,574,0.72,26.2
Civil,2019,Maharashtra,District,34,389,0.38,37.64
Commercial,2018,Karnataka,District,26,554,0.3,40.62
Family,2014,Karnataka,District,25,344,0.57,22.12
Property,2017,Uttar Pradesh,District,36,288,0.64,27.05
Criminal,2014,Karnataka,Supreme,14,598,0.42,53.33
Criminal,2021,Tamil Nadu,Supreme,22,417,0.42,52.04
Property,2011,Maharashtra,High,20,400,0.6,29.74
Criminal,2014,Karnataka,District,9,426,0.78,22.77
Commercial,2023,Delhi,District,18,638,0.72,26.48
Criminal,2011,Tamil Nadu,Supreme,15,428,0.61,37.8
Criminal,2012,Karnataka,High,15,387,0.59,29.77
Property,2018,Maharashtra,High,10,386,0.38,25.04
Family,2014,Uttar Pradesh,High,30,252,0.47,29.0
Family,2016,Karnataka,Supreme,36,605,0.66,45.83
Commercial,2010,Karnataka,District,10,446,0.64,19.01
Property,2022,Delhi,District,37,586,0.84,24.97
Property,2013,Karnataka,District,14,376,0.74,9.8
Family,2014,Maharashtra,District,27,326,0.43,26.97
Civil,2013,Karnataka,Supreme,23,795,0.45,53.84
Family,2011,Karnataka,District,22,699,0.75,23.62
Criminal,2012,Tamil Nadu,Supreme,38,680,0.63,57.59
Family,2018,Maharashtra,Supreme,10,308,0.87,26.6
Civil,2019,Uttar Pradesh,District,10,514,0.44,25.53
Family,2017,Delhi,High,30,672,0.72,35.19
Criminal,2019,Tamil Nadu,High,4,710,0.66,34.01
Commercial,2021,Delhi,District,15,370,0.32,23.9
Civil,2012,Tamil Nadu,High,23,766,0.69,40.36
Civil,2012,Delhi,High,12,563,0.6,28.25
Criminal,2017,Karnataka,High,25,583,0.32,36.88
Commercial,2014,Maharashtra,Supreme,3,243,0.31,41.0
Criminal,2013,Delhi,High,36,464,0.5,50.24
